url,published,title,content,lang,source_type,extra_author_attributes.name,brand_mentions,brand_count,is_multi_brand,content_length,has_negative_kw,source_category
https://news.toremaga.com/release/p14/3026426.html,24/03/14 22:43:36,10代～20代の7割以上が“食事相手の飯スマホ“を経験！やめてほしいけど、自分は注意されたくない！相手にも注意できない！その矛盾を味の素(株)が「飯スマホやめ～い！ステッカー」で楽しく解決！,10代～20代の7割以上が“食事相手の飯スマホ“を経験！やめてほしいけど、自分は注意されたくない！相手にも注意できない！その矛盾を味の素(株)が「飯スマホやめ～い！ステッカー」で楽しく解決！  味の素株式会社  3月19日は「共食の日」！人と囲む食卓をより楽しくしよう！  味の素株式会社(社長：藤江 太郎 本社：東京都中央区)は、3月19日の「共食の日」※¹に合わせて、人と囲む食卓をより楽しくしたいという想いから「飯スマホやめ～い！ステッカープロジェクト」を2024年3月18日(月)よりスタート...,ja,"ONLINENEWS,ONLINENEWS_OTHER",,味の素,1,False,253,False,news
https://bg-mania.jp/2024/09/22673448.html,24/09/22 18:07:18,"【ちいかわ】秋冬限定で""ちいかわカップスープ""が出るよ～！10種のキラキラシール、コンプしたい♡",丸美屋食品工業は、2024年10月17日から2025年2月28日まで「期間限定 ちいかわカップスープ＜カニ香るクリーミートマトポタージュ＞」「期間限定 ちいかわカップスープ＜きのこのクリーミーポタージュ＞」を販売します。  濃厚でクリーミーな味わいのスープ  それぞれカニやきのこの旨味を活かした秋冬にぴったりのカップスープが、期間限定で登場します。  ・「期間限定 ちいかわカップスープ＜カニ香るクリーミートマトポタージュ＞」  「カニちゃん」の愛称で親しまれている「古本屋」にちなんだスープです。...,ja,"ONLINENEWS,ONLINENEWS_OTHER","copyright (c) j-cast, inc. 2024. all rights reserved.",,0,False,253,False,news
https://weekly.ascii.jp/elem/000/004/326/4326606/,25/10/15 11:10:02,シェア100%の重圧を跳ね除けろ 味の素ファインテクノの業務改善は、kintoneで加速した,半導体製造に欠かせない層間絶縁材で世界シェア“ほぼ100%”を誇る、味の素ファインテクノ。同社の業務改善の取り組みは、供給責任のプレッシャーから始まった。たった4人で始まった改善活動は、kintoneというツールを得ることで加速。今では100名がアプリ開発を経験するほど、市民開発による業務改善が広がっているという。  サイボウズは、kintoneユーザーの事例イベントである「kintone hive 2025 Tokyo」を開催。6番手に登壇した味の素ファインテクノの大野隆之氏は、10年にもわた...,ja,"ONLINENEWS,ONLINENEWS_OTHER",ASCII,味の素,1,False,253,False,news
https://news.nifty.com/article/item/neta/12305-3886934/,25/03/05 14:01:15,こんな食べ方もありなんだ！ 味の素が教える白菜の調理法に「箸が止まらない」,鍋の定番食材である、白菜。鍋以外の食べ方では、煮込み料理に使うか、もしくは漬物にして食べるイメージが強いのではないでしょうか。  味の素株式会社のウェブサイトで紹介されている『やみつき！無限はくさい』の食べ方は、なんと生！  サラダのようにして、調味料と和えて食べるのだといいます。気になった筆者が、早速作ってみました。  ■すぐできる！『やみつき！無限はくさい』  気になる材料はこちら。白菜の２００gは、およそ葉２枚ぶんです。  材料（4人分）  白菜 200g  ツナ油漬缶 1缶（70g）  ...,ja,"ONLINENEWS,ONLINENEWS_OTHER",©nifty corporation,味の素,1,False,253,False,news
https://topics.smt.docomo.ne.jp/article/jiji/nation/jiji-250319X391,25/03/19 15:07:00,独部品メーカー日本法人に勧告＝下請法違反、６７００万円減額―公取委,下請け業者への代金を不当に減額していたとして、公正取引委員会は１９日、下請法違反（減額の禁止）で、鉄道車両・商用車用ブレーキシステム製造大手の独クノールブレムゼの日本法人「クノールブレムゼ商用車システムジャパン」（埼玉県坂戸市）に再発防止を勧告した。  不正な減額は総額約６７００万円に上る。同社は既に下請け業者に全額を支払ったという。  公取委によると、同社は２０２３年９月〜昨年４月、大型バスやトラックに使うブレーキの部品製造を委託する東日本地域の下請け９業者に対し、代金から計約６７００万円を差...,ja,"ONLINENEWS,ONLINENEWS_OTHER",shi shi tong xin,,0,False,253,False,news
https://news.livedoor.com/article/detail/28194032/,25/02/20 21:10:53,鶏がらスープで中国の鍋料理を再現！ヘルシーなのに食べ応え抜群【ピェンロー鍋レシピ】,白菜、鶏肉、豚肉、春雨を干し椎茸のだし汁で煮た、中国の鍋料理・ピェンロー鍋。通常干ししいたけを使うところを、生しいたけと鶏がらスープで手軽に味だし！ ごま油の風味で食欲も急加速♪  中国本場の味を再現【ピェンロー鍋レシピ】 出典: 美人百花.com  材料（1人分）  白菜…80g 豚肉しゃぶしゃぶ用…80g しいたけ…2枚 春雨…30g  [A]水…350ml [A]鶏がらスープの素…小さじ1 [A]しょうゆ…大さじ1  ごま油…大さじ1 好みで七味唐辛子…適量  味の決め手はコレ！  出典:...,ja,"ONLINENEWS,ONLINENEWS_OTHER",livedoor,丸鶏がらスープ,1,False,253,False,news
http://asahi.5ch.net/test/read.cgi/newsplus/1705445805/,24/01/17 09:04:47,全板01位：（ニュース速報+）「日本住みはリスク」増える海外永住57万人 米欧豪へ [首都圏の虎★],「日本住みはリスク」増える海外永住57万人 米欧豪へ [首都圏の虎★]  2024/01/17(水) 07:56:45.11  日本人の海外永住が増え続けている。生活拠点を移した永住者の数は2023年時点で前年比3%増の57万4727人となった。ここ20年ほど増え続け、新型コロナウイルス禍があっても右肩上がりの状況だ。背景には社会保障改革や男女平等が進まない日本に住み続けることへの長期的な不安があるのでは、といった指摘も出ている。  外務省の海外在留邦人数調査統計によると、海外に3カ月以上滞在し...,ja,"ONLINENEWS,ONLINENEWS_OTHER",zhong guosumoggu(pm ),,0,False,253,False,news
https://www.recipe-blog.jp/profile/319830/blog/18928431,25/01/04 02:25:33,【レンジ小松菜ナムル】香味ペーストで簡単副菜レシピ／やる気★★,たこべいさんのmyレシピブック 【レンジ小松菜ナムル】香味ペーストで簡単副菜レシピ／やる気★★  【レンジ小松菜ナムル】香味ペーストで簡単副菜レシピ／やる気★★  たこべい  簡単に野菜の副菜を作りたい人へ、電子レンジで作る小松菜のナムルはいかがでしょうか。クックドゥ香味ペーストを使用するため、簡単に中華の味を出すことができます。ごま油の香りが食欲をそそり、メイン料理を引き...  小松菜 レンジ ペースト ナムル たこ 中華 ゴマ なべ 野菜  2021/04/27 UP!  他の小松菜のレシ...,ja,"ONLINENEWS,ONLINENEWS_OTHER",takobei,"クックドゥ,香味ペースト",2,True,253,False,news
https://www.jprime.jp/ud/pressrelease/guid/kd202402026131,24/02/20 13:03:14,《「ちょっと贅沢な珈琲店®」レギュラー・コーヒー 香る深いコクのブラジル・ブレンド》を新発売！,ナッツのような香ばしさ・バランスの良い味わいが愉しめる！！  味の素AGF株式会社  https://kyodonewsprwire.jp/prwfile/release/M104353/202402026131/_prw_PT1fl_1nSIR8R4.png】  味の素AGF株式会社（以下、味の素AGF 代表取締役社長：竹内 秀樹）は、《「ちょっと贅沢な珈琲店®」レギュラー・コーヒー》シリーズから《「ちょっと贅沢な珈琲店®」レギュラー・コーヒー 香る深いコクのブラジル・ブレンド》を、2024年...,ja,"ONLINENEWS,ONLINENEWS_OTHER",,味の素,1,False,253,False,news
https://prtimes.jp/main/html/rd/p/000000012.000085351.html,25/09/02 17:18:27,景表法OK！「世界初」「日本初」の認定サービス開始。米国BSCGによる健康食品、化粧品、ペットフードの品質認証や原料の医薬品成分コンタミネーション防止も可能,薬事医療コンサル会社の株式会社ＲＣＴジャパン（本社：東京都渋谷区、代表：持田騎一郎）は、世界最大*の成分検査機関BSCG（Banned Substances Control Group／本社、カリフォルニア州）と提携し、健康食品、化粧品、ペットフードに関し、景品表示法違反にならない「世界初」のエビデンスとなる認定サービスを開始します。  *アンチドーピング認証機関として、2025年8月当社調べ  近年、景表法による規制が厳しくなり、「No1」「世界初」「日本初」などを広告に記載することが難しくな...,ja,"ONLINENEWS,ONLINENEWS_OTHER",cisukuriningu:,,0,False,253,False,news
https://minkabu.jp/news/4370732,25/09/18 20:42:06,日経平均は大幅反落、売り優勢の展開も5万円台に復帰 投稿日時： 2025/11/07 15:52[フィスコ],"日経平均は大幅反落、売り優勢の展開も5万円台に復帰  #日経平均株価の見通し材料  投稿:2025/11/07 15:52  *15:52JST 日経平均は大幅反落、売り優勢の展開も5万円台に復帰 前日6日の米国株式市場は反落。民間データで企業の10月人員削減加速が明らかになり、警戒感が優勢に。加えて、政府機関閉鎖も過去最長を記録し終了する兆候も見られないため成長減速懸念にさらに売りに拍車がかかり、終盤にかけて下げ幅を拡大した。米株市場を横目に、7日の 日経平均は359.37円安の50,524....",ja,"ONLINENEWS,ONLINENEWS_OTHER","(c) minkabu the infonoid, inc.",,0,False,253,False,news
https://www.qoo10.jp/item/%e5%91%b3%e3%81%ae%e7%b4%a0-%e5%91%b3%e3%81%ae%e7%b4%a0-%e5%85%b7%e3%81%9f%e3%81%a3%e3%81%b7%e3%82%8a%e5%91%b3%e5%99%8c%e6%b1%81-10%e7%a8%ae%e3%81%ae%e3%83%90%e3%83%a9%e3%82%a8%e3%83%86%e3%82%a3-20%e9%a3%9f%e3%82%bb%e3%83%83%e3%83%88-%e3%83%95%e3%83%aa%e3%83%bc%e3%82%ba%e3%83%89%e3%83%a9%e3%82%a4-%e5%8d%b3%e5%b8%ad%e3%81%bf%e3%81%9d%e6%b1%81-%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88-%e5%85%b7%e6%b2%a2%e5%b1%b1-%e9%87%8e%e8%8f%9c-%e5%8d%b3%e5%b8%ad/1127904599,25/12/27 00:52:43,[Qoo10] 味の素 味の素 具たっぷり味噌汁 10種のバラエ,味の素 / その他 / 不明  EANコード 4901625494891,ja,"ONLINENEWS,ONLINENEWS_OTHER",Qoo10,味の素,1,False,36,False,news
