,,,,,,,,,,,,,,,,,,,,
,NADESIKO売上,,8245000,進捗率,目標,,,NADESIKO売上,,売上総利益,,営業利益,,,,,,,,
,TikTok売上,,7695000,1.16706006,6593491,,,8245000,,7291391,,5291391,,,,,,,,
,モテコスメちゃん,,800000,0.607127679,1317680.0,40万10件＋20万5件,,,,,,,,,,,,,,
,,投稿制作費,#N/A,,,,,,,,,,,,,,,,,
,,二次利用費,#N/A,,,,,,,,,,,,,,,,,
,,リピート,0,,,,,,,,,,,,,,,,,
,,新規,0,,,,,,,,,,,,,,,,,
,ビビちゃん,,2100000,1.458333333,1440000.0,40万8件＋20万4件,,,,,,,,,,,,,,
,,投稿制作費,4450000,,,,,,,,,,,,,,,,,
,,二次利用費,845000,,,,,,,,,,,,,,,,,
,,リピート,15,,,,,,,,,,,,,,,,,
,,新規,2,,,,,,,,,,,,,,,,,
,美容探偵ちゃん,,1850000,1.191238154,1553006.0,20万6件＋10万3件,,全体売上,,,,,,,,,,,,
,,投稿制作費,1350000,,,,,8245000,,,,,,,,,,,,
,,二次利用費,100000,,,,,,,,,,,,,,,,,
,,リピート,4,,,,,,,,,,,,,,,,,
,,新規,1,,,,,,,,,,,,,,,,,
,突撃ちゃん,,600000,1.087744743,551600.0,10万1件＋5万1件,,,,,,,,,,,,,,
,肌コミちゃん,,1730000,2.64041514,655200.0,,,,,,,,,,,,,,,
,おとるーむ,,0,0,148925.0,,,,,,,,,,,,,,,
,韓国オンニ,,615000,0.6633731717,927080.0,,,,,,,,,,,,,,,
,Insta売上,,400000,,,,,,,,,,,,,,,,,
,YTs売上,,150000,,,,,,,,,,,,,,,,,
,NADESIKO外売上,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,▲支出,,2953609,予算,,,,,,,,,,,,,,,,
,▲メディア広告費,,,600000.0,,,,→次月の可能性あり,,,,,■2ヶ月サイクル,,,,,,,
,▲投稿制作費（外注費、コスメ代）,,953609,,,,,,,,,,Greed、NEL、CCPR、リアレーション、PPP 2ヶ月後,,,,,,,
,▲販管費,,2000000.0,,,,,→対応完了,,,,,■メール希望,,,,,,,
,▲アカウントM&A費,,0.0,,,,,,,,,,utakata、NEL、OMOT,,,,,,,
,,,,,,,,,,,,,,,,代理店,,,,
,,,,,,,,,,,,,,,,直クラ,,,,
,Month,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,種別,紹介商品,ジャンル,,
,2407.0,モテコスメちゃん,東亜製薬ILO,"Aiden Lab Co.,Ltd.",,,7月発生8月払い,投稿制作費,450000.0,リピート,True,True,True,True,,代理店,韓国,サプリ,,
,2407.0,モテコスメちゃん,fresho2,株式会社Utakata,,,7月発生8月払い,投稿制作費,350000.0,リピート,True,True,True,True,,代理店,台湾,リップ、アイシャドウ、ファンデ,,
,2407.0,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,紹介商品,,,
,2407.0,ビビちゃん,JILL STUART,AnyMind Japan株式会社,,,7月発生8月払い,投稿制作費,400000.0,リピート,True,True,True,True,,代理店,国内,アイブロウパレット、マスカラ,,
,2407.0,ビビちゃん,東亜製薬ILO,"Aiden Lab Co.,Ltd.",,,7月発生8月払い,投稿制作費,400000.0,リピート,True,True,True,True,,代理店,韓国,サプリ,,
